Symptoms,Diagnosis,Differential Diagnosis,Advise,Image analysis,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoBsulcus,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoPalate,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoFloor,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoLateraltongue,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoDorsumtongue,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoLip,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoGingiva,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MarblewhitePiNADSharpYesHnoRetromolararea,SPECKLED LEUKOPLAKIA,FIBROEPITHELIAL POLYP & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoBmucosa,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoBsulcus,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoPalate,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoFloor,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoLateraltongue,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoDorsumtongue,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoLip,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoGingiva,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MarblewhitePiNADSharpYesHnoRetromolararea,FIBROEPITHELIAL POLYP,VERRUCOUS LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoBmucosa,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoBsulcus,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoPalate,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoFloor,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoLateraltongue,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoDorsumtongue,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoLip,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoGingiva,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MarblewhitePiNADSharpYesHnoRetromolararea,FIBROEPITHELIAL POLYP,SPECKLED LEUKOPLAKIA & CARCINOMA IN  SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoBmucosa,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoBsulcus,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoPalate,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoFloor,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoLateraltongue,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoDorsumtongue,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoLip,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoGingiva,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMarblewhitePiNADSharpYesHnoRetromolararea,ORAL LEUKOPLAKIA,OSMF,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoBmucosa,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoBsulcus,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoPalate,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoFloor,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoLateraltongue,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoDorsumtongue,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoLip,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoGingiva,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMarblewhitePiNADSharpYesHnoRetromolararea,SPECKLED LEUKOPLAKIA,OSMF & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoBmucosa,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoBsulcus,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoPalate,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoFloor,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoLateraltongue,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoDorsumtongue,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoLip,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoGingiva,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularM1MNADPiNADSharpYesHnoRetromolararea,VERRUCOUS LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoBmucosa,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoBsulcus,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoPalate,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoFloor,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoLateraltongue,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoDorsumtongue,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoLip,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoGingiva,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularM1MNADPiNADSharpYesHnoRetromolararea,SPECKLED LEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoBmucosa,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoBsulcus,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoPalate,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoFloor,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoLateraltongue,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoDorsumtongue,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoLip,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoGingiva,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteIrregularL1MNADPiNADSharpYesHnoRetromolararea,TRAUMATICULCER ,VERRUCOUS LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoBmucosa,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoBsulcus,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoPalate,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoFloor,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoLateraltongue,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoDorsumtongue,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoLip,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoGingiva,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedIrregularL1MNADPiNADSharpYesHnoRetromolararea,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoBmucosa,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoBsulcus,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoPalate,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoFloor,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoLateraltongue,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoDorsumtongue,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoLip,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoGingiva,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADWhiteGNADMNADPiNADSharpYesHnoRetromolararea,CANDIDIASIS,ORAL LEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoBmucosa,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoBsulcus,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoPalate,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoFloor,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoLateraltongue,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoDorsumtongue,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoLip,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
UNADRedGNADMNADPiNADSharpYesHnoGingiva,TRAUMATICULCER ,SPECKLED LEUKOPLAKIA & CARCINOMA INSITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST. REFER TO A SPECIALIST FOR ADVISE ON BIOPSY.,,
